UF;FATURA;DOCUMENTO;LOCAL;MEIO;C;S;LOCAL-ORIG;FONE-ORIG;CJ-ORIG;SU-ORIG;PAG;LINHA;LOCAL-DEST;LOCAL-DEST;DDD-DEST;FONE-DEST;HORA;COD;DESC-RESU-COD;VALOR;DURACAO;DEGRAU;GRUPO-HOR;PULSOS;CONCESSIONARIA;PERC-ICMS;PERC-IMPOSTO;COD-EMPRESA;PROD;BLQ-PRESTADORA;NOTA-FISCAL;SERIE-NF;BLOCO;DT-SERVICO;VLR-SERVICO-ICMS;VLR-IMPOSTO;DT-VENC;DT-RECEB;DT-FATURA;DT-COBRANCA;DT-NOVO-VENC;DT-CAIXA;DT-CONTA;CLIENTE;NRC
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32725375;0;5;0001;0001;               ;00000;00;0000000000000;00:00:00;91801;RET.TRIB.LEI 9430/96-10833/03 ;-0000095,09;000:00:00;00;0;0000000;000;00,0000;00,0000;OI S.A.                  ;015;001;0000000112295;B;RETENCAO TRIBUTARIA LEIS 9430/96 E 10833/2;20211001;+000000,000;+000000,000;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32720442;0;4;0001;0002;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0007178,40;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32720442;0;4;0001;0003;               ;00000;00;0000000000000;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;+0000000,00;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;050;001;0000000112295;B;LIGACOES LOCAIS                           ;20210924;+000000,000;+000000,000;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0004;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0005;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0006;               ;00000;00;0000000000000;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;+0000000,00;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;050;001;0000000112295;B;LIGACOES LOCAIS                           ;20210924;+000000,000;+000000,000;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0007;COD AREA 84    ;38193;84;0000998035487;15:28:28;60720;VC1 MESM.AR.TAR.BD B CLARO    ;+0000000,14;000:00:30;00;2;0000000;000;30,0000;30,0000;OI S.A.                  ;070;001;0000000112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210827;+000000,042;+000000,042;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0008;COD AREA 84    ;38193;84;0000991218190;18:13:58;60720;VC1 MESM.AR.TAR.BD B CLARO    ;+0000000,14;000:00:30;00;2;0000000;000;30,0000;30,0000;OI S.A.                  ;070;001;0000000112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;+000000,042;+000000,042;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0009;COD AREA 84    ;38193;84;0000999359411;16:17:48;60727;VC1 MESM.AR.TAR.BD A TIM      ;+0000000,14;000:00:30;00;2;0000000;000;30,0000;30,0000;OI S.A.                  ;070;001;0000000112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;+000000,042;+000000,042;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0010;COD AREA 84    ;38193;84;0000999855636;16:20:03;60727;VC1 MESM.AR.TAR.BD A TIM      ;+0000000,14;000:00:30;00;2;0000000;000;30,0000;30,0000;OI S.A.                  ;070;001;0000000112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;+000000,042;+000000,042;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
